[DEBUG] 2018-11-05 16:57:40.967 [http-nio-8080-exec-1] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2018-11-05 16:57:40.979 [http-nio-8080-exec-1] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2018-11-05 16:57:40.983 [http-nio-8080-exec-1] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2018-11-05 16:57:41.098 [http-nio-8080-exec-1] Version - HHH000412: Hibernate Core {5.2.12.Final}
[INFO ] 2018-11-05 16:57:41.100 [http-nio-8080-exec-1] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2018-11-05 16:57:41.195 [http-nio-8080-exec-1] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2018-11-05 16:57:41.195 [http-nio-8080-exec-1] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2018-11-05 16:57:41.219 [http-nio-8080-exec-1] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2018-11-05 16:57:41.479 [http-nio-8080-exec-1] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2018-11-05 16:57:41.526 [http-nio-8080-exec-1] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2018-11-05 16:57:41.539 [http-nio-8080-exec-1] Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
[DEBUG] 2018-11-05 16:57:41.573 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@33d86769
[DEBUG] 2018-11-05 16:57:41.573 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@33d86769
[DEBUG] 2018-11-05 16:57:41.573 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@33d86769
[DEBUG] 2018-11-05 16:57:41.573 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@19e685fe
[DEBUG] 2018-11-05 16:57:41.575 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@57e52ef9
[DEBUG] 2018-11-05 16:57:41.576 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@14242f0f
[DEBUG] 2018-11-05 16:57:41.577 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5d1f7ba6
[DEBUG] 2018-11-05 16:57:41.577 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5d1f7ba6
[DEBUG] 2018-11-05 16:57:41.577 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@5d1f7ba6
[DEBUG] 2018-11-05 16:57:41.577 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@51f0fc79
[DEBUG] 2018-11-05 16:57:41.578 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@51f0fc79
[DEBUG] 2018-11-05 16:57:41.578 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@51f0fc79
[DEBUG] 2018-11-05 16:57:41.580 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@77854e31
[DEBUG] 2018-11-05 16:57:41.580 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@77854e31
[DEBUG] 2018-11-05 16:57:41.580 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@77854e31
[DEBUG] 2018-11-05 16:57:41.581 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@56bfab34
[DEBUG] 2018-11-05 16:57:41.581 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@56bfab34
[DEBUG] 2018-11-05 16:57:41.581 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@56bfab34
[DEBUG] 2018-11-05 16:57:41.582 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@1f3b3632
[DEBUG] 2018-11-05 16:57:41.582 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@1f3b3632
[DEBUG] 2018-11-05 16:57:41.582 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@1f3b3632
[DEBUG] 2018-11-05 16:57:41.583 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@78cad996
[DEBUG] 2018-11-05 16:57:41.583 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@78cad996
[DEBUG] 2018-11-05 16:57:41.583 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@78cad996
[DEBUG] 2018-11-05 16:57:41.584 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@702086e6
[DEBUG] 2018-11-05 16:57:41.584 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@702086e6
[DEBUG] 2018-11-05 16:57:41.587 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@702086e6
[DEBUG] 2018-11-05 16:57:41.589 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@34c9c5f5
[DEBUG] 2018-11-05 16:57:41.589 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@34c9c5f5
[DEBUG] 2018-11-05 16:57:41.589 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@214b5367
[DEBUG] 2018-11-05 16:57:41.589 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@214b5367
[DEBUG] 2018-11-05 16:57:41.591 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@41456627
[DEBUG] 2018-11-05 16:57:41.591 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@41456627
[DEBUG] 2018-11-05 16:57:41.591 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@32a2e896
[DEBUG] 2018-11-05 16:57:41.592 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@fb3482
[DEBUG] 2018-11-05 16:57:41.593 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@6a77c8d6
[DEBUG] 2018-11-05 16:57:41.593 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@6a77c8d6
[DEBUG] 2018-11-05 16:57:41.594 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@3f8ffb16
[DEBUG] 2018-11-05 16:57:41.594 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@3f8ffb16
[DEBUG] 2018-11-05 16:57:41.622 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@29ebbd0b
[DEBUG] 2018-11-05 16:57:41.622 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@29ebbd0b
[DEBUG] 2018-11-05 16:57:41.625 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@65b0a81d
[DEBUG] 2018-11-05 16:57:41.625 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@65b0a81d
[DEBUG] 2018-11-05 16:57:41.626 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@3e3338ba
[DEBUG] 2018-11-05 16:57:41.626 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@3e3338ba
[DEBUG] 2018-11-05 16:57:41.627 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@349f4fa1
[DEBUG] 2018-11-05 16:57:41.627 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@349f4fa1
[DEBUG] 2018-11-05 16:57:41.628 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@11125b97
[DEBUG] 2018-11-05 16:57:41.628 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@11125b97
[DEBUG] 2018-11-05 16:57:41.631 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@42d910c2
[DEBUG] 2018-11-05 16:57:41.631 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@42d910c2
[DEBUG] 2018-11-05 16:57:41.634 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5734b719
[DEBUG] 2018-11-05 16:57:41.634 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5734b719
[DEBUG] 2018-11-05 16:57:41.636 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@71a0c2c6
[DEBUG] 2018-11-05 16:57:41.636 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@71a0c2c6
[DEBUG] 2018-11-05 16:57:41.637 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@51197dca
[DEBUG] 2018-11-05 16:57:41.637 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@51197dca
[DEBUG] 2018-11-05 16:57:41.637 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@492375f
[DEBUG] 2018-11-05 16:57:41.638 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@492375f
[DEBUG] 2018-11-05 16:57:41.638 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@492375f
[DEBUG] 2018-11-05 16:57:41.639 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@45d30701
[DEBUG] 2018-11-05 16:57:41.639 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@f362e38
[DEBUG] 2018-11-05 16:57:41.639 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@f362e38
[DEBUG] 2018-11-05 16:57:41.639 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@f362e38
[DEBUG] 2018-11-05 16:57:41.641 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@76d3a784
[DEBUG] 2018-11-05 16:57:41.642 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@53d37c2a
[DEBUG] 2018-11-05 16:57:41.642 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@53d37c2a
[DEBUG] 2018-11-05 16:57:41.643 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@2db33e67
[DEBUG] 2018-11-05 16:57:41.643 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@2db33e67
[DEBUG] 2018-11-05 16:57:41.644 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@623847e4
[DEBUG] 2018-11-05 16:57:41.644 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@623847e4
[DEBUG] 2018-11-05 16:57:41.644 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@4c10b50d
[DEBUG] 2018-11-05 16:57:41.644 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@4c10b50d
[DEBUG] 2018-11-05 16:57:41.645 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@60edb859
[DEBUG] 2018-11-05 16:57:41.645 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@60edb859
[DEBUG] 2018-11-05 16:57:41.647 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@7fdbfd53
[DEBUG] 2018-11-05 16:57:41.648 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@3472dd0b
[DEBUG] 2018-11-05 16:57:41.648 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@3472dd0b
[DEBUG] 2018-11-05 16:57:41.648 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@3472dd0b
[DEBUG] 2018-11-05 16:57:41.649 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@7d4c00f
[DEBUG] 2018-11-05 16:57:41.649 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@7d4c00f
[DEBUG] 2018-11-05 16:57:41.649 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@7d4c00f
[DEBUG] 2018-11-05 16:57:41.650 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@5271288b
[DEBUG] 2018-11-05 16:57:41.650 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@23765729
[DEBUG] 2018-11-05 16:57:41.651 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@6a336b79
[DEBUG] 2018-11-05 16:57:41.651 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@6a336b79
[DEBUG] 2018-11-05 16:57:41.651 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@6a336b79
